V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,survey_code,experiment,Q17,Q23,Q58,Q32_1,Q32_2,Q32_3,Q32_4,Q14(1),Q14(2),Q14(3),Q14(4),Q14(5),Q14(6),Q14(7),Q14(8),Q14(9),Q25_1(1),Q25_1(2),Q25_1(3),Q25_1(4),Q25_1(5),Q25_1(6),Q25_1(7),Q25_1(8),Q25_1(9),Q20(1),Q20(2),Q20(3),Q20(4),Q20(5),Q20(6),Q20(7),Q20(8),Q20(9),Q4_1(1),Q4_2(1),Q4_3(1),Q4_4(1),Q4_1(2),Q4_2(2),Q4_3(2),Q4_4(2),Q4_1(3),Q4_2(3),Q4_3(3),Q4_4(3),Q4_1(4),Q4_2(4),Q4_3(4),Q4_4(4),Q4_1(5),Q4_2(5),Q4_3(5),Q4_4(5),Q4_1(6),Q4_2(6),Q4_3(6),Q4_4(6),Q4_1(7),Q4_2(7),Q4_3(7),Q4_4(7),Q4_1(8),Q4_2(8),Q4_3(8),Q4_4(8),Q4_1(9),Q4_2(9),Q4_3(9),Q4_4(9),Q52,Q33_1,Q33_2,Q33_3,Q33_4,Q46(1),Q46(2),Q46(3),Q46(4),Q46(5),Q46(6),Q46(7),Q46(8),Q46(9),Q47_1(1),Q47_1(2),Q47_1(3),Q47_1(4),Q47_1(5),Q47_1(6),Q47_1(7),Q47_1(8),Q47_1(9),Q49(1),Q49(2),Q49(3),Q49(4),Q49(5),Q49(6),Q49(7),Q49(8),Q49(9),Q50_1(1),Q50_2(1),Q50_3(1),Q50_4(1),Q50_1(2),Q50_2(2),Q50_3(2),Q50_4(2),Q50_1(3),Q50_2(3),Q50_3(3),Q50_4(3),Q50_1(4),Q50_2(4),Q50_3(4),Q50_4(4),Q50_1(5),Q50_2(5),Q50_3(5),Q50_4(5),Q50_1(6),Q50_2(6),Q50_3(6),Q50_4(6),Q50_1(7),Q50_2(7),Q50_3(7),Q50_4(7),Q50_1(8),Q50_2(8),Q50_3(8),Q50_4(8),Q50_1(9),Q50_2(9),Q50_3(9),Q50_4(9),Q18,Q16,Q15,Q17,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q36,LocationLatitude,LocationLongitude,LocationAccuracy,
R_7afJW5RnxwTE0ux,Default Response Set,Anonymous,,,184.53.49.54,0,2015-08-27 11:22:11,2015-08-27 11:27:11,1,78541780,likeability,1,1,1,0,0,15.089,0,1,1,1,1,1,1,1,1,1,43,74,-41,0,-15,80,48,-22,46,2,2,2,2,2,2,2,2,2,12.661,25.427999999999997,27.065,4,3.699,8.404,9.852,2,3.948,6.071,8.372,2,5.952,8.563,9.87,2,4.424,7.719,9.296,3,4.62,9.028,11.99,2,2.926,4.941000000000001,7.06,2,5.17,7.18,8.82,2,5.999,8.725,10.819,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1,36,2,1,,,,,,,,,1,38,-97,-1,
R_ezysuDqs83IVtGt,Default Response Set,Anonymous,,,67.14.209.117,0,2015-08-27 11:22:01,2015-08-27 11:27:14,1,78527067,trust,1,,1,0,0,9.689,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,77.478,0,1,1,1,1,1,1,1,1,1,0,10,5,5,10,10,15,10,5,2,2,2,2,2,2,2,2,2,2.643,3.7159999999999997,4.945,2,3.842,4.8580000000000005,6.484,2,14.392,16.096,17.905,2,6.781,8.325,9.371,2,12.158,13.238,13.979,2,3.692,5.132,6.714,2,2.86,4.38,5.788,2,9.679,10.535,12.12,2,2.875,4.203,5.072,2,no,1,32,2,1,,,,,,,,,1,33.484298706055,-92.49520111084,-1,
R_b143zV7tq5cDkxv,Default Response Set,Anonymous,,,184.191.56.151,0,2015-08-27 11:25:26,2015-08-27 11:27:32,1,78506673,likeability,1,1,1,0,0,8.084,0,1,1,1,1,1,1,1,1,1,-80,31,-17,-17,-39,-2,62,20,-59,2,2,2,1,2,2,2,2,2,2.717,5.460000000000001,6.301,4,2.084,6.256,6.996,5,2.026,2.88,3.551,2,3.635,5.662,7.033,3,3.723,6.4030000000000005,7.353,3,4.558,6.771,7.763,2,2.375,3.269,4.188,2,2.389,3.018,3.941,2,4.117,7.482,8.722,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,1,40,3,1,,,,,,1,,,1,30.009994506836,-90.162803649902,-1,
R_8kAf9yxS1NjtJWJ,Default Response Set,Anonymous,,,24.4.27.161,0,2015-08-27 11:24:04,2015-08-27 11:27:38,1,78553493,likeability,1,1,1,0,0,12.99,0,1,1,1,1,1,1,1,1,1,-63,0,-20,-62,42,42,0,39,-41,1,2,1,2,2,2,2,1,2,7.964,16.214,17.592,2,5.781,8.019,9.312,2,3.896,10.813,11.383,4,4.06,12.422,9.879,3,4.768,13.232,14.233,4,2.934,8.692,10.924,4,3.985,9.032,11.478,4,3.818,14.780999999999999,16.105,3,6.932,8.336,11.121,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None.,1,25,4,1,,,,,,,,,1,37.779907226562,-121.97799682617,-1,
R_9vHelXjqlk5L7DL,Default Response Set,Anonymous,,,73.39.0.219,0,2015-08-27 11:25:10,2015-08-27 11:27:39,1,78516276,likeability,1,1,1,0,0,9.514,0,1,1,1,1,1,1,1,1,1,-100,21,-76,-60,40,82,60,-83,12,1,2,1,1,2,2,2,2,1,3.399,5.555,6.375,2,5.587,8.061,9.456,2,3.808,6.294,7.826,3,2.289,10.318999999999999,12.015,2,5.609,6.881,7.969,2,4.427,5.678999999999999,6.735,2,4.039,5.3309999999999995,6.031,2,7.223,9.3,10.039,2,5.021,6.194,7.195,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,23,4,1,,,,,,,,,1,38.951995849609,-77.019996643066,-1,
R_0fANT46mzhUH4Pz,Default Response Set,Anonymous,,,74.218.174.91,0,2015-08-27 11:23:51,2015-08-27 11:27:40,1,78560919,trust,1,,1,0,0,24.96,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,52.861,56.66,65.335,2,1,1,1,1,1,1,1,1,1,30,100,50,75,50,100,80,50,80,2,2,2,2,2,2,2,2,2,5.985,9.417000000000002,10.196,3,5.919,7.39,8.242,2,4.692,6.747999999999999,7.594,3,6.095,7.407,8.004,2,4.628,6.556,7.584,2,5.889,7.2490000000000006,9.374,2,5.502,6.294,7.925,2,5.521,12.361,13.652,2,6.689,9.332,10.079,3,none,2,40,4,1,,,,,,,,,1,35.111999511719,-80.761703491211,-1,
R_eLF9XwJINvsBA7r,Default Response Set,Anonymous,,,98.88.90.230,0,2015-08-27 11:23:10,2015-08-27 11:27:45,1,78579143,trust,1,,1,0,0,18.048,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,108.263,0,1,1,1,1,1,1,1,1,1,10,50,40,20,30,10,50,50,20,2,2,2,2,2,2,2,2,2,2.827,6.071,6.99,3,16.273,20.073999999999998,21.099,2,7.011,10.866,11.813,2,4.188,6.9559999999999995,9.361,3,7.322,9.401,10.383,2,4.841,8.706,10.031,3,6.025,9.281,10.306,2,3.942,6.166,7.826,2,4.888,9.063,10.635,3,NO,1,46,1,1,,,,,,,,,1,32.481399536133,-84.903297424316,-1,
R_5d4r0BQiTfpcsIJ,Default Response Set,Anonymous,,,174.61.175.134,0,2015-08-27 11:26:08,2015-08-27 11:27:49,1,78579435,likeability,1,1,1,0,0,10.401,0,1,1,1,1,1,1,1,1,1,61,-61,7,18,-84,-74,93,40,23,2,2,2,2,2,2,2,2,2,1.771,3.221,4.254,3,2.425,9.239999999999998,10.357,5,1.4,6.492000000000001,7.623,6,2.146,2.81,3.464,2,2.155,4.279999999999999,5.365,3,3.558,5.5569999999999995,6.099,3,1.366,2.2190000000000003,2.834,3,1.204,2.9859999999999998,3.532,3,1.882,2.785,3.361,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2,29,2,1,,,,,,,,,1,47.898498535156,-122.25889587402,-1,
R_9tB2ZhHDPLx4tvf,Default Response Set,Anonymous,,,166.175.62.236,0,2015-08-27 11:24:51,2015-08-27 11:27:55,1,78510069,likeability,1,1,1,0,0,17.006,0,1,1,1,1,1,1,1,1,1,19,44,-55,-13,-17,85,51,-23,-50,2,2,2,2,2,2,2,2,2,3.678,5.37,6.082,2,3.565,5.548,6.496,2,4.544,8.646999999999998,9.454,4,4.47,6.739,8.448,3,3.887,5.832,7.472,2,3.681,6.498,7.853,3,2.612,4.7829999999999995,5.567,2,7.063,9.843,10.701,2,3.732,5.541,6.328,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No.,2,30,4,1,,,,,,,,,1,38,-97,-1,
R_eY96b9oYmbPu4AJ,Default Response Set,Anonymous,,,107.128.23.73,0,2015-08-27 11:24:17,2015-08-27 11:27:57,1,78557263,likeability,1,1,1,0,0,16.172,0,1,1,1,1,1,1,1,1,1,-40,60,-80,-60,-20,40,20,-40,-20,2,2,2,2,2,2,2,2,2,4.097,8.626000000000001,9.926,5,1.782,14.544,15.327,12,6.247,8.031,8.9,2,3.151,4.7669999999999995,6.253,3,3.921,11.896999999999998,13.774,5,3.405,11.676,12.586,5,3.502,9.270999999999999,10.1,3,6.365,12.597000000000001,17.163,2,11.196,14.187,16.105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No. Movement (GIFs) of the robots would be more telling, I think. ",2,28,3,1,,,,1,,,,,1,33.524398803711,-81.942398071289,-1,
R_87wJ8izacYGEtcp,Default Response Set,Anonymous,,,75.147.73.38,0,2015-08-27 11:25:36,2015-08-27 11:28:07,1,78575386,likeability,1,1,1,0,0,8.368,0,1,1,1,1,1,1,1,1,1,-41,-2,39,-48,-70,-40,81,33,-1,2,2,2,2,2,2,2,2,2,5.968,9.068,10.089,2,3.396,5.076,6.246,3,2.564,7.003,8.069,2,2.759,4.303,5.2,3,4.842,5.457999999999999,6.204,2,5.278,7.685999999999999,8.8,3,1.967,4.1419999999999995,4.857,4,1.92,3.32,4.146,2,2.255,2.96,4.001,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,32,4,1,,,,,,,,,1,39.919296264648,-75.418998718262,-1,
R_0qdi7AzK1JgnYix,Default Response Set,Anonymous,,,209.217.206.150,0,2015-08-27 11:26:13,2015-08-27 11:28:11,1,78519815,likeability,1,1,1,0,0,11.476,0,1,1,1,1,1,1,1,1,1,-63,-62,-52,-44,44,61,-39,-62,-81,2,2,2,2,2,2,2,2,2,2.308,4.52,5.555,3,2.299,4.361,5.191,4,2.692,3.74,4.372,2,2.657,5.718999999999999,6.893,2,3.25,5.54,6.596,2,2.77,5.067,5.782,4,4.581,9.199000000000002,10.073,2,2.561,5.959,7.086,3,3.238,5.3149999999999995,6.249,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,4,1,,,,,,,,,1,43.074401855469,-75.211700439453,-1,
R_9XmAGMGrc3ApvOB,Default Response Set,Anonymous,,,184.60.232.114,0,2015-08-27 11:25:21,2015-08-27 11:28:25,1,78553402,trust,1,,1,0,0,10.803,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,52.013,0,1,1,1,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,2,2,2,2,2,2,2,2,2,1.885,2.661,3.814,2,9.161,13.977,14.868,3,2.026,3.6879999999999997,4.371,3,1.851,2.737,3.452,2,1.811,2.442,3.334,2,2.202,3.114,3.725,2,1.4,2.432,3.298,2,1.823,2.99,4.273,2,10.002,10.766,11.341,2,No,2,32,4,1,,,,,,,,,1,37.493896484375,-82.964401245117,-1,
R_bgswmy3Aoo7bqo5,Default Response Set,Anonymous,,,174.109.144.68,0,2015-08-27 11:26:11,2015-08-27 11:28:26,1,78505334,trust,1,,1,0,0,8.186,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,32.172,0,1,1,1,1,1,1,1,1,1,40,50,49,50,29,7,19,20,30,2,2,2,2,2,2,2,2,2,1.802,3.206,4.016,3,2.093,3.013,3.909,2,2.24,3.096,3.742,2,3.174,5.43,6.738,2,5.005,5.781,6.929,2,2.297,4.048,4.842,3,2.812,4.068,5.222,2,3.014,3.9419999999999997,5.007,2,5.545,6.233,7.368,2,No,2,39,3,1,,,,,,,,,1,35.976699829102,-78.554397583008,-1,
R_3dtqwJCZtUaCfRj,Default Response Set,Anonymous,,,173.12.170.1,0,2015-08-27 11:25:35,2015-08-27 11:28:46,1,78583828,trust,1,,1,0,0,10.842,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,42.873,43.172999999999995,65.793,2,1,1,1,1,1,1,1,1,1,20,15,12,4,13,11,14,16,7,1,2,2,1,2,2,2,2,2,7.039,15.027,17.023,4,6.098,8.081,9.333,2,3.363,5.747,6.756,2,3.23,4.2989999999999995,5.616,2,3.803,5.369,6.787,2,4.752,6.175,8.742,2,2.805,3.891,4.877,2,2.65,3.979,4.911,2,5.14,6.356999999999999,7.367,2,No.,1,35,3,1,,,,,,,,,1,45.481796264648,-122.60049438477,-1,
R_bwuZtnX5EyedM3z,Default Response Set,Anonymous,,,173.215.17.159,0,2015-08-27 11:25:27,2015-08-27 11:28:51,1,78516834,likeability,1,1,1,0,0,10.062,0,1,1,1,1,1,1,1,1,1,-34,-14,-36,-20,-14,-19,0,-67,-62,2,2,2,1,2,2,2,2,2,6.36,7.971,8.977,2,7.485,10.007000000000001,11.343,3,5.017,7.388,8.756,2,6.798,9.312,11.078,3,5.227,7.954000000000001,9.021,2,7.273,16.731,19.847,2,5.628,7.541,8.961,2,3.696,5.567,7.051,2,4.357,5.672000000000001,7.494,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not _exactly, but there was an iFrame error and this popped up inside the turk window, which is mildly awkward.",2,43,5,1,,,,,,,,,1,41.84309387207,-90.679000854492,-1,
R_57jWNe3OoOIkY29,Default Response Set,Anonymous,,,75.183.23.232,0,2015-08-27 11:23:43,2015-08-27 11:28:54,1,78575643,likeability,1,1,1,0,0,16.835,0,1,1,1,1,1,1,1,1,1,-84,30,32,-33,-60,-63,62,40,9,2,2,2,2,2,2,2,2,2,7.771,13.032,14.141,3,7.999,12.14,13.037,3,7.91,9.999,10.831,2,5.756,7.805,8.717,2,9.182,10.426,11.138,2,12.838,13.651,14.32,2,3.251,4.62,5.263,2,8.778,9.463000000000001,10.531,2,8.277,11.072999999999999,12.168,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2,61,3,1,,,,,,,,,1,36.007400512695,-79.873199462891,-1,
R_b74zZcMlxZCmn8V,Default Response Set,Anonymous,,,96.252.162.113,0,2015-08-27 11:25:28,2015-08-27 11:28:58,1,78574455,likeability,1,1,1,5.384,5.384,20.022,1,1,1,1,1,1,1,1,1,1,-20,60,-100,80,80,40,20,-20,-60,2,2,2,2,2,2,2,2,2,6.676,9.517,10.586,2,7.031,10.463,11.822,2,5.898,7.6049999999999995,8.569,3,7.435,9.113999999999999,10.446,2,9.566,9.566,10.339,1,7.803,21.355,28.529,4,6.262,6.824,7.784,2,6.734,10.589,12.684,2,7.01,8.458,10.431,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1,28,2,1,,,,,,,,,1,27.947494506836,-81.920402526855,-1,
R_4ZdeWvY1unNn5QN,Default Response Set,Anonymous,,,108.52.1.67,0,2015-08-27 11:25:29,2015-08-27 11:28:59,1,78594280,likeability,1,1,1,3.086,3.086,5.258,1,1,1,1,1,1,1,1,1,1,28,96,11,-49,-43,100,78,-39,-20,2,2,2,2,2,2,2,2,2,0.701,5.567,7.494,5,1.045,7.621,8.42,4,0.542,6.893999999999999,8.66,5,0.761,4.361,5.313,3,1.156,6.451999999999999,8.357,5,1.968,5.680999999999999,6.568,3,1.45,6.128,7.264,4,45.87,50.013999999999996,50.899,4,14.063,19.267000000000003,20.018,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no.,2,20,2,,,,,,,,,1,1,40.063598632812,-75.079696655273,-1,
R_0xKexUVAHAV9oTr,Default Response Set,Anonymous,,,68.81.71.106,0,2015-08-27 11:26:38,2015-08-27 11:29:05,1,78538917,likeability,1,1,1,0,0,7.894,0,1,1,1,1,1,1,1,1,1,-39,18,-41,42,42,70,10,-78,-17,2,2,2,2,2,2,2,2,2,5.441,9.623999999999999,10.8,2,4.355,5.348000000000001,6.902,2,3.999,6.77,8.108,3,3.976,5.878,7.153,2,3.126,4.841,5.844,2,3.084,6.058,7.153,2,3.96,6.0040000000000004,7.281,3,2.449,4.199,5.694,3,3.337,4.812,7.166,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,2,26,5,1,,,,,,,,,1,39.912292480469,-75.153297424316,-1,
R_cScLg5xx7xatixT,Default Response Set,Anonymous,,,73.19.126.222,0,2015-08-27 11:26:39,2015-08-27 11:29:07,1,78533169,likeability,1,1,1,0,0,9.732,0,1,1,1,1,1,1,1,1,1,-17,60,-10,15,-66,-100,78,-1,0,2,2,2,2,2,2,2,1,2,3.298,5.171,6.301,3,2.613,5.458,6.297,2,3.077,6.194,7.028,3,4.59,12.422999999999998,13.334,3,1.79,4.7330000000000005,6.033,2,3.381,5.848,7.087,2,5.017,11.905000000000001,12.908,3,4.008,8.946,10.362,2,3.52,5.471,6.284,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nope,2,43,3,1,,,,,,,,,1,47.632202148438,-122.63760375977,-1,
R_3O60HkamZucmVRb,Default Response Set,Anonymous,,,52.129.8.47,0,2015-08-27 11:25:27,2015-08-27 11:29:19,1,78569058,likeability,1,1,1,0,0,18.451,0,1,1,1,1,1,1,1,1,1,-97,30,-29,-18,82,37,-86,-86,-27,2,2,2,2,2,2,2,1,2,4.378,8.465,9.55,2,4.454,5.909,7.522,2,4.892,6.938000000000001,7.75,2,3.795,5.73,6.785,2,2.701,11.451,11.938,6,4.116,6.659,7.576,2,3.579,10.468,12.473,3,4.598,6.133,7.546,2,8.957,15.942,18.829,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no did not experince any confution or problems,1,28,4,1,,,,,,,,,1,39.746002197266,-75.546600341797,-1,
R_3UEUnbEHfg99Skt,Default Response Set,Anonymous,,,98.209.67.163,0,2015-08-27 11:25:18,2015-08-27 11:29:57,1,78560549,trust,1,,1,0,0,29.331,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,69.218,70.839,77.685,2,1,1,1,1,1,1,1,1,1,10,14,20,10,20,14,10,20,10,2,2,2,2,2,2,2,2,2,4.981,11.962,13.76,2,7.031,8.105,12.305,2,4.189,5.3149999999999995,6.984,2,5.669,6.785,8.12,2,5.848,9.703,10.716,3,6.589,7.555000000000001,10.811,2,10.126,16.488,17.505,2,3.356,7.692,9.093,3,11.555,19.529,20.818,3,no,2,47,4,1,,,,,,,,,1,42.688400268555,-83.386497497559,-1,
R_9odvGjoEW7QzKwl,Default Response Set,Anonymous,,,67.82.49.117,0,2015-08-27 11:24:35,2015-08-27 11:30:04,1,78519295,trust,1,,1,14.787,14.787,31.151,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,42.246,52.589000000000006,54.56,3,1,1,1,1,1,1,1,1,1,80,90,20,60,30,80,40,70,50,1,2,2,1,1,1,2,2,1,4.863,13.250000000000002,14.191,6,4.252,10.068000000000001,12.704,4,5.365,14.111,15.863,4,4.25,7.846,10.149,2,5.22,6.947,11.283,2,4.108,10.804,13.755,3,3.799,11.113999999999999,12.285,5,4.539,12.935,14.111,7,40.506,54.439,56.175,3,no,1,31,3,,1,,,,,,,,1,40.692001342773,-73.926803588867,-1,
R_2fYIzOPGW6hMJq5,Default Response Set,Anonymous,,,50.38.224.62,0,2015-08-27 11:23:18,2015-08-27 11:30:08,1,78590439,likeability,1,1,1,0,0,21.169,0,1,1,1,1,1,1,1,1,1,-20,60,-20,40,70,80,20,60,40,2,2,2,2,2,2,2,2,2,7.08,19.352,30.049,5,7.816,13.365,19.776,2,7.058,11.071,20,2,16.474,28.089,35.629,2,12.169,20.188000000000002,27.186,2,14.745,22.22,33.782,2,7.903,16.62,20.304,2,7.553,20.62,29.025,2,19.102,34.314,38.678,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,2,36,2,1,,,,,,,,,1,34.233795166016,-110.07720184326,-1,
R_40hhKWEfwcPvnEh,Default Response Set,Anonymous,,,72.215.48.154,0,2015-08-27 11:25:25,2015-08-27 11:30:13,1,78536169,trust,1,,1,0,0,30.51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,104.39,0,1,1,1,1,1,1,1,1,1,50,42,19,15,9,6,30,50,39,2,2,2,2,2,2,2,2,2,5.077,6.9510000000000005,8.2,2,3.884,6.048,7.886,2,4.851,6.255,7.366,2,6.298,8.257,9.336,2,6.618,8.529,10.711,2,3.543,5.758,7.463,2,14.275,17.596,19.276,2,4.038,5.878,7.002,2,4.129,5.536,6.706,2,no,2,59,4,1,,,,,,,,,1,41.60920715332,-71.17440032959,-1,
R_1R0zP6VlKjHqkTP,Default Response Set,Anonymous,,,24.21.36.178,0,2015-08-27 11:26:02,2015-08-27 11:30:14,1,78597857,trust,1,,1,0,0,8.962,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,72.952,0,1,1,1,1,1,1,1,1,1,8,9,0,7,19,27,0,0,5,2,2,2,2,2,2,2,2,2,2.311,5.132,5.894,3,12.178,14.256,15.07,2,3.687,3.687,5.002,1,6.265,6.265,6.93,1,3.607,3.607,4.407,1,3.037,9.236,9.907,2,3.395,3.395,4.263,1,5.118,5.118,6.07,1,3.75,3.75,4.484,1,No,2,25,2,1,,,,,,,,1,1,45.58479309082,-122.9116973877,-1,
R_d7on3T46XYxsw5L,Default Response Set,Anonymous,,,173.45.182.86,0,2015-08-27 11:24:08,2015-08-27 11:30:24,1,78591259,trust,1,,1,0,0,17.375,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8.323,8.323,233.625,1,1,1,1,1,1,1,1,1,1,30,20,10,10,10,30,0,0,20,2,2,2,2,2,2,2,2,2,5.213,7.452,8.42,2,4.607,7.349,11.235,2,4.149,5.1129999999999995,6.283,2,6.867,7.998,8.848,2,4.754,6.071,7.663,2,4.512,9.589,10.988,5,2.297,3.782,4.692,2,1.536,3.343,4.508,2,11.606,13.118,14.831,2,None,2,24,3,1,,,,,,,,,1,42.241302490234,-76.482696533203,-1,
R_4329IXnOWlk4O6p,Default Response Set,Anonymous,,,207.183.233.226,0,2015-08-27 11:24:11,2015-08-27 11:30:53,1,78557521,likeability,1,1,1,0,0,95.126,0,1,1,1,1,1,1,1,1,1,-63,41,-41,2,0,-2,82,42,-23,2,2,2,2,2,2,2,2,2,2.918,5.4559999999999995,6.663,3,3.392,7.850999999999999,8.928,5,6.786,8.895999999999999,10.355,2,5.411,11.408999999999999,12.865,2,2.377,6.279999999999999,7.778,4,7.683,10.613000000000001,10.97,3,162.065,164.95000000000002,166.407,3,2.694,7.347999999999999,8.367,4,5.495,6.747,7.949,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,2,34,3,1,,,,,,,,,1,34.052200317383,-118.24369812012,-1,
R_57p42ArNNkxXH93,Default Response Set,Anonymous,,,50.89.137.146,0,2015-08-27 11:24:10,2015-08-27 11:30:58,1,78585757,trust,1,,1,0,0,22.729,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,122.032,0,1,1,1,1,1,1,1,1,1,70,29,8,50,8,18,60,9,19,2,2,2,2,2,2,2,2,2,5.809,11.334,19.346,2,7.903,14.768999999999998,22.665,2,2.87,6.1240000000000006,9.16,2,4.661,5.9559999999999995,10.429,2,6.625,9.122,17.887,2,11.988,35.117999999999995,36.523,3,3.475,4.638,9.043,2,3.892,5.136,7.122,2,7.497,8.587,12.135,2,"no, it ran very smoothly",1,48,3,1,,,,,,,,,1,28.471801757812,-80.816703796387,-1,
R_ba4vd5xP5iiTHbn,Default Response Set,Anonymous,,,72.177.214.170,0,2015-08-27 11:26:17,2015-08-27 11:31:02,1,78529505,trust,1,,1,7.863,7.863,14.233,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,84.791,0,1,1,1,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,2,2,2,2,2,2,2,2,2,2.866,3.919,5.037,2,12.339,18.843,20.348,3,4.609,6.88,7.898,2,3.357,5.281000000000001,6.287,2,2.95,4.4990000000000006,6.363,2,15.392,23.506,24.843,2,2.155,6.791,8.178,2,4.399,9.792000000000002,12.75,3,2.557,5.724,7.175,2,No confusion or problems. ,2,33,2,1,,,,,,,,,1,29.51969909668,-98.6083984375,-1,
R_9HPxQRpdozN2Q5L,Default Response Set,Anonymous,,,50.54.106.38,0,2015-08-27 11:27:56,2015-08-27 11:31:07,1,78551923,likeability,1,1,1,0,0,11.513,0,1,1,1,1,1,1,1,1,1,-63,-27,-91,-72,8,100,13,2,-81,2,2,2,2,2,2,2,2,2,4.934,9.062000000000001,9.955,2,2.963,6.058999999999999,6.833,3,3.337,4.765000000000001,6.012,2,5.278,6.773999999999999,8.212,2,8.519,14.403,15.819,2,5.758,8.102,8.939,2,3.095,4.547000000000001,5.793,2,4.722,6.3420000000000005,7.518,2,2.689,4.349,5.116,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,1,41,2,1,,,,,,,,,1,40.713592529297,-82.801200866699,-1,
